일,서울,경기,총합
2021-01-01,16,15,31
2021-01-02,24,25,49
2021-01-03,20,22,42
2021-01-04,23,25,48
2021-01-05,34,35,69
2021-01-06,25,28,53
2021-01-07,32,32,64
2021-01-08,32,37,69
2021-01-09,23,24,47
2021-01-10,26,24,50
2021-01-11,27,29,56
2021-01-12,23,24,47
2021-01-13,34,37,71
2021-01-14,30,34,64
2021-01-15,32,34,66
2021-01-16,23,23,46
2021-01-17,19,21,40
2021-01-18,25,28,53
2021-01-19,33,34,67
2021-01-20,60,64,124
2021-01-21,36,35,71
2021-01-22,25,27,52
2021-01-23,21,26,47
2021-01-24,15,16,31
2021-01-25,37,36,73
2021-01-26,27,26,53
2021-01-27,25,29,54
2021-01-28,22,26,48
2021-01-29,32,37,69
2021-01-30,17,20,37
2021-01-31,15,18,33
2021-02-01,25,26,51
2021-02-02,26,31,57
2021-02-03,30,34,64
2021-02-04,23,27,50
2021-02-05,21,23,44
2021-02-06,23,26,49
2021-02-07,15,17,32
2021-02-08,26,26,52
2021-02-09,22,21,43
2021-02-10,15,14,29
2021-02-11,14,14,28
2021-02-12,14,16,30
2021-02-13,15,15,30
2021-02-14,20,23,43
2021-02-15,31,34,65
2021-02-16,22,24,46
2021-02-17,22,24,46
2021-02-18,48,50,98
2021-02-19,24,24,48
2021-02-20,21,21,42
2021-02-21,13,14,27
2021-02-22,24,25,49
2021-02-23,26,29,55
2021-02-24,35,36,71
2021-02-25,39,42,81
2021-02-26,35,36,71
2021-02-27,29,28,57
2021-02-28,31,34,65
2021-03-01,25,26,51
2021-03-02,33,30,63
2021-03-03,27,26,53
2021-03-04,23,23,46
2021-03-05,31,32,63
2021-03-06,21,23,44
2021-03-07,22,25,47
2021-03-08,26,23,49
2021-03-09,28,27,55
2021-03-10,25,25,50
2021-03-11,27,29,56
2021-03-12,23,24,47
2021-03-13,16,17,33
2021-03-14,15,17,32
2021-03-15,31,32,63
2021-03-16,32,32,64
2021-03-17,28,31,59
2021-03-18,26,29,55
2021-03-19,20,18,38
2021-03-20,21,22,43
2021-03-21,23,25,48
2021-03-22,38,43,81
2021-03-23,48,52,100
2021-03-24,39,42,81
2021-03-25,29,32,61
2021-03-26,30,33,63
2021-03-27,32,39,71
2021-03-28,28,28,56
2021-03-29,26,27,53
2021-03-30,31,34,65
2021-03-31,26,27,53
2021-04-01,29,30,59
2021-04-02,18,20,38
2021-04-03,24,27,51
2021-04-04,28,33,61
2021-04-05,27,29,56
2021-04-06,24,26,50
2021-04-07,34,37,71
2021-04-08,26,27,53
2021-04-09,23,29,52
2021-04-10,21,24,45
2021-04-11,20,23,43
2021-04-12,20,23,43
2021-04-13,29,34,63
2021-04-14,22,24,46
2021-04-15,28,31,59
2021-04-16,19,20,39
2021-04-17,21,27,48
2021-04-18,28,29,57
2021-04-19,20,22,42
2021-04-20,25,26,51
2021-04-21,24,24,48
2021-04-22,26,28,54
2021-04-23,21,22,43
2021-04-24,17,18,35
2021-04-25,20,20,40
2021-04-26,22,24,46
2021-04-27,29,25,54
2021-04-28,18,20,38
2021-04-29,26,26,52
2021-04-30,21,23,44
2021-05-01,21,21,42
2021-05-02,24,26,50
2021-05-03,21,24,45
2021-05-04,27,27,54
2021-05-05,25,27,52
2021-05-06,29,34,63
2021-05-07,30,30,60
2021-05-08,20,21,41
2021-05-09,26,26,52
2021-05-10,22,24,46
2021-05-11,40,46,86
2021-05-12,32,36,68
2021-05-13,33,32,65
2021-05-14,21,23,44
2021-05-15,22,22,44
2021-05-16,19,20,39
2021-05-17,21,24,45
2021-05-18,25,24,49
2021-05-19,19,16,35
2021-05-20,24,26,50
2021-05-21,20,20,40
2021-05-22,19,23,42
2021-05-23,16,16,32
2021-05-24,21,22,43
2021-05-25,20,21,41
2021-05-26,21,21,42
2021-05-27,20,22,42
2021-05-28,26,29,55
2021-05-29,21,25,46
2021-05-30,22,24,46
2021-05-31,21,22,43
2021-06-01,24,26,50
2021-06-02,25,28,53
2021-06-03,20,25,45
2021-06-04,17,17,34
2021-06-05,15,18,33
2021-06-06,20,24,44
2021-06-07,36,35,71
2021-06-08,30,37,67
2021-06-09,24,24,48
2021-06-10,21,22,43
2021-06-11,33,33,66
2021-06-12,25,24,49
2021-06-13,30,32,62
2021-06-14,32,33,65
2021-06-15,26,31,57
2021-06-16,48,54,102
2021-06-17,31,30,61
2021-06-18,24,25,49
2021-06-19,16,15,31
2021-06-20,21,23,44
2021-06-21,25,24,49
2021-06-22,32,34,66
2021-06-23,32,33,65
2021-06-24,28,29,57
2021-06-25,19,19,38
2021-06-26,19,21,40
2021-06-27,24,28,52
2021-06-28,19,19,38
2021-06-29,29,30,59
2021-06-30,30,34,64
2021-07-01,34,36,70
2021-07-02,32,35,67
2021-07-03,20,22,42
2021-07-04,21,17,38
2021-07-05,25,28,53
2021-07-06,21,22,43
2021-07-07,21,24,45
2021-07-08,21,23,44
2021-07-09,20,20,40
2021-07-10,15,16,31
2021-07-11,17,18,35
2021-07-12,27,29,56
2021-07-13,22,25,47
2021-07-14,20,22,42
2021-07-15,18,23,41
2021-07-16,18,20,38
2021-07-17,15,16,31
2021-07-18,16,18,34
2021-07-19,19,21,40
2021-07-20,21,22,43
2021-07-21,20,21,41
2021-07-22,18,17,35
2021-07-23,19,19,38
2021-07-24,12,13,25
2021-07-25,19,18,37
2021-07-26,19,19,38
2021-07-27,24,24,48
2021-07-28,18,18,36
2021-07-29,19,20,39
2021-07-30,21,18,39
2021-07-31,18,17,35
2021-08-01,14,16,30
2021-08-02,18,19,37
2021-08-03,18,23,41
2021-08-04,15,21,36
2021-08-05,14,17,31
2021-08-06,15,16,31
2021-08-07,39,45,84
2021-08-08,17,20,37
2021-08-09,24,27,51
2021-08-10,30,33,63
2021-08-11,24,27,51
2021-08-12,21,24,45
2021-08-13,19,22,41
2021-08-14,20,19,39
2021-08-15,20,20,40
2021-08-16,19,21,40
2021-08-17,20,22,42
2021-08-18,15,19,34
2021-08-19,27,30,57
2021-08-20,18,19,37
2021-08-21,15,17,32
2021-08-22,18,19,37
2021-08-23,23,27,50
2021-08-24,24,25,49
2021-08-25,24,29,53
2021-08-26,24,26,50
2021-08-27,21,24,45
2021-08-28,24,25,49
2021-08-29,17,20,37
2021-08-30,19,20,39
2021-08-31,24,29,53
2021-09-01,32,36,68
